ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1322304775740887042,2020-10-30 22:30:00+00:00,Jill and I are praying for all those impacted by Hurricane Zeta. The entire nation stands with you as you rebuild and recover.,2240,8547,103225
1322299741804195841,2020-10-30 22:10:00+00:00,Alfonso came here with a dream. And now he’s been robbed of his future. Enough is enough. https://t.co/wrASsVVNHX,1398,4047,17558
1322282861093744640,2020-10-30 21:02:55+00:00,We are in a battle for the soul of the nation –– your voice and vote can make all the difference. Tune in as I speak live from Minnesota. https://t.co/9F5riiRKo9,2430,2015,11471
1322278350933688320,2020-10-30 20:45:00+00:00,"Jill and I send our prayers to the people of Greece and Turkey following today’s earthquake. We’re grateful for the brave rescuers saving others, and for the governments of Greece and Turkey putting aside their differences to support each other.",1261,7069,74677
1322270801370902528,2020-10-30 20:15:00+00:00,"Let me be clear: Hardworking Americans should not be paying more in federal income taxes than Amazon or Netflix.

It’s time for big corporations to finally pay their fair share.",4055,16961,136461
1322254443644026880,2020-10-30 19:10:00+00:00,"I'm not going to shut down the country.

I'm not going to shut down the economy.

I'm going to shut down the virus.",23855,41115,323126
1322247900286513152,2020-10-30 18:44:00+00:00,"You have the power to silence him.

Vote: https://t.co/eoxT07uII9 https://t.co/zIJUQEWlyx",3858,18058,84604
1322234732235513856,2020-10-30 17:51:40+00:00,"There’s no challenge we can’t overcome when we stand united. With just four days to go, tune in as we get out the vote in Iowa. https://t.co/0O9S2J9Tw6",1553,1794,10114
1322229277887238145,2020-10-30 17:30:00+00:00,Donald Trump is wholly unfit to serve as commander in chief. But don’t just take my word for it... https://t.co/TnxcPvwSul,2499,9743,36975
1322215436524670976,2020-10-30 16:35:00+00:00,"After campaigning in 2016 to lift up the ‘forgotten man,’ President Trump has completely lost sight of working people. 

I promise you this: I never will. https://t.co/mbcxYtv80U",3093,4005,32845
1322209648418672642,2020-10-30 16:12:00+00:00,"Folks, deadlines to vote early in-person are arriving across the country. Don’t wait until November 3rd to cast your ballot — head to https://t.co/eoxT07d7QB to find all the information you need to vote today. https://t.co/3YmUK1Mggr",1202,4431,16539
